"Site
#",School,Date,Time,"Creek
Appearance","Weather  (past 48
hr)",Stage (m),"Discharge
(m3
s)",Other tests,"Sulfate
(mg
L)","Flow  (m
s)","Temp. (deg
C)","pH
Meter","TDS
(mg
L)","DO
(mg
L)","NO3-N
(mg
L)","P (mg
L)","Alk
(mg
L)","Turb
(JTU)","Fe
(mg
L)","WQI
value","Conductivity
(uS
cm)","pH
Test
Kit"
44,"Saegertown
Jr/Sr High Scho",2003-10-14,.,green discolor,overcast,normal,,,,,14,7.65,82.5,10.5,0.22,0.07,110.5,10,.,9.1,.,.
48,"Conneaut Lake
High School",2003-10-14,.,,,,,,,,14.5,7.1,110,11,.,.,111,5,.,.,.,.
59,Union City,2003-10-14,.,algae,rain,normal,,,,,11,8.3,125,14,0.22,0.217,102,5,.,13.055,.,.
28,"Fort LeBoeuf
High School",2003-10-15,.,brown,heavy rain,higher,,Hardness 111.15,<50,fast,10.4,7.8,50,10.5,0.085,.,51,35,.,.,.,.
19,"Clymer Central
School",2003-10-16,.,cloudy,heavy rain,higher,,,,fast,8,7.9,185,10,0.1,0.1,170,20,.,12.7,.,.
47,"Youngsville
High School",2003-10-16,.,,rain,higher,,,,fast,11,7,40,10,0.08,0,48,20,.,11.8,.,.
47,"Youngsville
High School",2003-10-17,.,murky,cold/rain,higher,,,,fast,8,8.2,50,13,0,0,68,15,.,9.5,.,.
1,"Maplewood
High School",2003-10-20,9:00:00,clear,clear,normal,,"Hardness: 34.2g/gal, 34.2
g/gal Ca, 0 g/gal Mg",,,7,7.3,20,12,0,0.03,68,5,.,4.65,.,.
1,"Maplewood
High School",2003-10-20,15:00:00,clear,clear,normal,,"Hardness: 51.3g/gal, Ca:
34.2g/galL, Mg: 17.1g",,,10,7.3,25,10,0,0,68,0,.,4.6,.,.
1,"Maplewood
High School",2003-10-21,.,,light rain,,,,,,10.2,.,.,13,0,0.16,280,10,.,.,.,.
28,"Fort LeBoeuf
High School",2003-10-23,.,,light snow,higher,,Hardness 119.7,,,7.05,7.45,90,11.5,0.38,0.09,51,10,.,9.5,.,.
40,"General McLane
High School",2003-10-23,.,,"cloudy, cold",average,,,,,6,8.1,85,7,0,0,51,30,.,15.9,.,.
52,"Cambridge
Springs High
Sch",2003-10-24,.,brownish,rain/snow,1.00,,RCE 230,,moderate,10,7.2,100,11.5,0.08,0.026,34,5,.,6.54,.,.
55,"Northewestern
High School",2003-10-24,.,normal,no rain,normal,,,,normal,8,8.65,55,14,0.02,0.015,60,7.5,.,11.325,.,.
36,"Conneaut Valley
High Schoo",2003-10-28,.,turbid,light rain,0.45,0.82,,,fast,8.4,8.2,100,11.99,0.5,0.08,51,5,.,14.407,.,.
37,"Conneaut Valley
High Schoo",2003-10-28,.,turbid,light rain,0.90,1.19,,,,8.9,8.2,110,11.39,0.26,0.06,68,5,.,12.127,.,.
38,"Conneaut Valley
High Schoo",2003-10-28,.,turbid,light rain,1.08,0.46,,,,8.9,7.9,110,11.44,0.1,0.06,68,5,.,8.092,.,.
39,"General McLane
High School",2003-10-28,.,clear,rain,,,,,,9,7.4,110,10.5,9.5,0.26,136,.,.,102.35,.,.
5,"Cambridge
Springs High
Sch",2003-10-29,.,dark brown,"rain, cold",higher,,,,,10,7.67,100,11,0.03,0.18,68,15,.,9.66,.,.
28,"Fort LeBoeuf
High School",2003-10-29,.,dark brown,rain,higher,,Hardness 102.6,<50,fast,8.9,7.5,80,16,0.25,0.22,102,20,.,8.6,.,.
46,"Seneca High
School",2003-11-02,.,clear,rain,higher,,,,,10,7.55,180,10,0.03,.,30.6,5,.,4.1,.,.
29,"Wattsburg Area
Middle Scho",2003-11-04,.,,,,,,,,11,7.5,110,.,0.001,0.001,68,10,.,.,.,.
30,"Wattsburg Area
Middle Scho",2003-11-04,.,,,,,,,,13,7.5,110,13,0.001,0.001,246,5,.,.,.,.
32,"Wattsburg Area
Middle Scho",2003-11-04,.,,,,,,,,13,7.3,120,5,0.001,0.001,102,10,.,.,.,.
47,"Youngsville
High School",2003-11-04,.,clear,rain,higher,,,,swift,15,6.9,80,12,0.4,0.03,51.2,15,.,13.85,.,.
49,"Cussewago
Elementary
Schoo",2003-11-04,.,clear,"cloudy,foggy",normal,,,,,16,7.6,80,11.5,0.08,0.0033,68,.,.,3.5995,.,.
51,"Sugar Grove
Elementary",2003-11-04,.,normal,foggy,normal,,,,,17,.,85,8,.,5,160,.,.,139.4,.,.
25,"Meadville
Middle School",2003-11-06,.,,,higher,,,,,13,7.05,90,10,0.12,0.016,76.5,12.5,.,10.54,.,.
26,"Meadville
Middle School",2003-11-06,.,,,higher,,,,,11.5,6.75,95,9,0.155,0,102,10,.,13.25,.,.
29,"Wattsburg Area
Middle Scho",2003-11-06,.,,,,,,,,11,8.4,120,8,0.06,0.001,170,5,.,.,.,.
32,"Wattsburg Area
Middle Scho",2003-11-06,.,,,,,,,,12,7,120,6,0.001,0.001,272,5,.,.,.,.
19,"Clymer Central
School",2003-11-07,.,clear,warm,higher,,,,fast,10,10.2,122,13,1,0,170,0,.,32.5,.,.
28,"Fort LeBoeuf
High School",2003-11-07,.,clear,rain,,,Hardness: 128.25,50,moderate,10.9,7.8,100,12,0.14,0.12,127.5,0.25,.,7.25,.,.
47,"Youngsville
High School",2003-11-07,.,clear,cool,lower,,,,slow,9,7.5,100,9,0.1,0,50,5,.,5.7,.,.
36,"Conneaut Valley
High Schoo",2003-11-11,.,turbid,light rain,0.41,0.91,,,,6.3,8.9,140,10.79,0.4,0.04,68,5,.,19.247,.,.
37,"Conneaut Valley
High Schoo",2003-11-11,.,turbid,light rain,0.82,0.76,,,,6.5,8.4,130,11.9,0.11,0.06,51,5,.,11.87,.,.
38,"Conneaut Valley
High Schoo",2003-11-11,.,turbid,light rain,0.88,0.59,,,,6.4,8.3,150,11.9,0.1,0.06,68,5,.,10.97,.,.
16,"Conneaut Lake
High School",2003-11-12,.,clear,"clear, cold",,,,,slow,9,9.45,80,7,0.06,0.1,136,15,0.03,25.8,.,.
28,"Fort LeBoeuf
High School",2003-11-12,.,leaves,rain,normal,,Hardness: 136.8,<50,fast,8.85,7.65,80,10,0.47,0.15,110.5,.,.,11.15,.,.
58,"Maplewood
High School",2003-11-14,.,,cold/snow,higher,,,,fast,4,7.3,37,11,0,0.5,57,5,.,12.4,.,.
9,"Sherman
Central  School",2003-11-18,.,,light rain,higher,,,,,8.3,7.8,95,10,0,0,1445,10,.,7.4,.,.
18,"Conneaut Lake
High School",2003-11-18,.,clear,cloudy,lower,,,,,10.5,7.2,110,15,0,0.001133,93.5,10,.,3.916995,.,.
40,"General McLane
High School",2003-11-18,.,,overcast,average,,,,,7,9.4,100,6.5,0,0,119,10,.,22.65,.,.
48,"Conneaut Lake
High School",2003-11-18,.,,rain,normal,,,,,10,7.85,110,13,.,.,265,5,0.76,.,.,.
55,"Northewestern
High School",2003-11-19,.,,,,,,,,10,8.1,60,11,.,0.043,68,4.4,.,.,.,.
28,"Fort LeBoeuf
High School",2003-11-20,.,brownish,rain,higher,,Hardness: 102,50,fast,8.2,7.05,70,12,0.42,0.13,76.5,60,.,23.35,.,.
56,"Northwestern
High School",2003-11-20,.,,,,,,,,9,6.9,.,17.5,.,0.14,153,5,.,5.65,.,.
1,"Maplewood
High School",2003-11-21,9:23:00,clear,sunny,3 feet,,"Hardness: 119.7g/gal, Ca:
51.3 g/gal, Mg: 68.4",,,6,7.5,20,12,0,0.01,68,5,.,2.75,.,.
1,"Maplewood
High School",2003-11-21,10:00:00,clear,"sunny, cool",0-1 foot,,"Hardness: 102.6 g/gal, Ca:
34.2 g/gal, Mg: 68.",,normal,8,7.5,20,10,0,0,68,5,.,4,.,.
1,"Maplewood
High School",2003-11-21,11:00:00,clear,clear,normal,,,,,7.5,7.5,20,10,0,0.2,51,5,.,7,.,.
1,"Maplewood
High School",2003-11-21,15:00:00,clear,clear,normal,,"Hardness: 51.3 g/gal, Ca:
17.1 g/gal, Mg: 34.2",,,8,7.5,20,11,0,0.08,85,0,.,3.5,.,.
28,"Fort LeBoeuf
High School",2003-11-25,.,,snow,,,Hardness: 102,<50,fast,4.8,8.3,80,9,0.11,0.08,68,5,.,13.4,.,.
36,"Conneaut Valley
High Schoo",2003-11-25,.,turbid,light snow,0.48,2.16,,,,4.5,7.7,105,.,0.45,0.04,51,5,.,.,.,.
37,"Conneaut Valley
High Schoo",2003-11-25,.,turbid,light snow,0.72,1.34,,,,5,8.2,115,12.29,0.28,0.06,68,5,.,11.697,.,.
38,"Conneaut Valley
High Schoo",2003-11-25,.,turbid,light snow,0.99,0.88,,,,5.2,8.2,110,11.94,0.1,0.06,51,5,.,10.142,.,.
39,"General McLane
High School",2003-11-25,.,cloudy,snow,,,,,,4.5,7.4,110,11,0.04,0.02,153,.,.,3.8,.,.
23,"Cochranton
High School",2003-11-26,.,clear,rain,normal,,,,,5,8.4,212,12,0.15,.,93.5,12.5,.,12.8,.,.
49,"Cussewago
Elementary
Schoo",2003-11-26,.,clear,"snow, rain",normal,,,,,6,7.7,80,13.5,0.023,0.0006,85,.,.,2.389,.,.
25,"Meadville
Middle School",2003-12-04,.,clear,snow,higher,,,,fast,3.5,6.9,80,12,0,0,93.5,10,.,8.4,.,.
26,"Meadville
Middle School",2003-12-04,.,clear,snow,higher,,,,fast,2,7.05,80,6,0.17,0,68,5,.,12.1,.,.
19,"Clymer Central
School",2003-12-05,.,clear,snow,normal,,,,fast,1,9.9,122,12.5,0.1,0,145,0,.,21.45,.,.
39,General McLane,2003-12-06,.,normal/clear,snow,,,,no data,,1.5,7.55,80,11,0.025,.,76.5,10,.,.,.,.
28,"Fort LeBoeuf
High School",2003-12-08,.,,,higher,,Hardness: 119.7,<50,,1.4,7.85,85,12,0.7,0.27,85,7.5,.,16.95,.,.
9,"Sherman
Central  School",2003-12-09,.,,clear,,,,,,2.35,7.3,195,11.5,0.06,.,.,10,.,6.15,.,.
36,"Conneaut Valley
High Schoo",2003-12-09,.,clear/fast,cloudy/cold,0.45,1.41,,,,2.5,7.5,110,11.53,0.64,0.06,68,5,.,10.229,.,.
37,"Conneaut Valley
High Schoo",2003-12-09,.,clear/fast,cloudy/cold,0.86,1.01,,,,2.7,7.9,120,11.7,0.31,0.06,68,5,.,10.01,.,.
38,"Conneaut Valley
High Schoo",2003-12-09,.,clear/free flowing,cloudy/cold,0.92,0.53,,,,2.5,7.9,120,12.13,0.22,0.04,68,5,.,8.509,.,.
16,"Conneaut Lake
High School",2003-12-10,.,frozen,snow,,,,,,.,8.3,20,6,.,.,85,10,.,14.2,.,.
29,"Wattsburg Area
Middle Scho",2003-12-11,.,grey/brown,flurries,higher,,,,fast,3,7,110,13,0.001,0.001,102,5,.,5.925,.,.
29,"Wattsburg Area
Middle Scho",2003-12-11,.,clear,light snow,higher,,,,,3,7,110,13,0.001,0.001,102,5,.,.,.,.
30,"Wattsburg Area
Middle Scho",2003-12-11,.,grey/brown,snow flurries,,,,,fast,4,7.2,120,11,0.001,0.001,85,5,.,.,.,.
32,"Wattsburg Area
Middle Scho",2003-12-11,.,clear,light snow,higher,,,,,4,7.5,120,8,0.1,0.001,136,10,.,.,.,.
40,"General McLane
High School",2003-12-11,.,cloudy,"rainy,windy,
overcast",,,,,,4,9.5,60,15.5,0,0,51,5,.,16.15,.,.
29,"Wattsburg Area
Middle Scho",2003-12-12,.,clear,light snow,higher,,,,,3,7.2,120,10,0.001,0.001,119,5,.,6.425,.,.
30,"Wattsburg Area
Middle Scho",2003-12-12,.,clear,light snow,higher,,,,,3,8.1,130,8,0.001,0.001,102,5,.,.,.,.
32,"Wattsburg Area
Middle Scho",2003-12-12,.,clear,light snow,,,,,,4,7.4,110,10,0.1,0.001,119,5,.,.,.,.
18,"Conneaut Lake
High School",2003-12-15,.,clear,snow,normal,,,,,6,7.25,100,13,0,0,93.5,0,.,2.9,.,.
39,"General McLane
High School",2003-12-16,.,some ice,snow 30s,normal,,,,normal,7,8.6,95,8.5,0.07,0.29,119,7.5,.,19.4,.,.
48,"Conneaut Lake
High School",2003-12-16,.,,cold/snowy,normal,,,,,5,7.25,110,12,.,.,178.5,5,0.475,.,.,.
28,"Fort LeBoeuf
High School",2003-12-17,.,,,,,hardness 68.4,<50,,2.5,8,67.5,14,0.25,0.1,76.5,15,.,11.2,.,.
36,"Conneaut Valley
High Schoo",2003-12-22,.,somewhat turbid,cloudy/cold,0.53,1.47,,,,2.4,7.7,100,11.65,0.34,0.04,68,5,.,8.445,.,.
37,"Conneaut Valley
High Schoo",2003-12-22,.,somewhat turbid,cloudy/cold,0.90,1.43,,,,2.3,8.1,100,10.65,0.22,0.06,68,5,.,11.445,.,.
43,"Maplewood
Jr./Sr. High",2003-12-23,.,clear,overcast/drizzle,normal,,,,,2.5,7.35,95,12,0.095,.,76.5,5,.,4.75,.,.
44,"Saegertown
Jr/Sr High Scho",2003-12-23,.,"clear, bit green","cool, overcast",normal,,,,,2.25,7.55,70,11.5,0.15,0.0165,85,2.5,.,4.5975,.,.
5,"Cambridge
Springs High
Sch",2004-01-07,.,grayish-green,snow,2.10,36.3,,,0.63,2,7.28,90,12.5,0.11,0.01,37.4,10,.,6.26,.,.
49,"Cussewago
Elementary
Schoo",2004-01-07,.,slushy,snowy/cold,higher,,,,,0.5,7.55,85,14,0.49,0.0052,76.5,.,.,5.578,.,.
5,"Cambridge
Springs High
Sch",2004-01-08,.,brown,freezing rain,1.60,42,,,0.63,4,7.625,85,14.25,0.175,0.025,78.2,5,.,4.15,.,.
36,"Conneaut Valley
High Schoo",2004-01-08,.,somewhat turbid,"heavy snow, cold",0.44,2.07,,,,0.4,7.2,75,10.98,0.48,0.06,51,5,.,11.414,.,.
37,"Conneaut Valley
High Schoo",2004-01-08,.,somewhat turbid,"heavy snow, cold",0.95,1.28,,,,0.3,8.1,80,12.47,0.29,0.04,51,5,.,10.571,.,.
38,"Conneaut Valley
High Schoo",2004-01-08,.,somewhat turbid,"heavy snow, cold",1.17,1.1,,,fast,0.2,7.6,90,11,0.34,0.04,51,5,.,8.1,.,.
25,"Meadville
Middle School",2004-01-13,.,,,higher,,,,fast,1,6.9,90,11.5,0.23,0,58.5,10,.,11.05,.,.
26,"Meadville
Middle School",2004-01-13,.,,cold,higher,,,,fast,2,6.85,80,9.5,0.3,0,68,10,.,13.55,.,.
16,"Conneaut Lake
High School",2004-01-14,.,frozen,snow,,,,,,.,8,22,16,.,.,93,5,.,3.8,.,.
21,"Cambridge
Springs High
Sch",2004-01-15,14:00:00,clear,snow,0.40,,,,,.,7.19,115,12,.,0.015,91.8,50,.,14.305,.,.
21,"Cambridge
Springs High
Sch",2004-01-15,15:00:00,clear,snow,0.15,,,,slow,.,7.44,155,10,0.3,0.27,81.6,25,.,15.53,.,.
19,"Clymer Central
School",2004-01-20,.,frozen over,very cold,lower,,,,,1.5,8.5,147,15,0.1,0,153,0,.,8.5,.,.
49,"Cussewago
Elementary
Schoo",2004-01-21,.,icy/snowy,snowy/cold,lower,,,,,0.5,7.55,85,14,0.2,0.0007,102,.,.,2.6105,.,.
18,"Conneaut Lake
High School",2004-01-26,.,frozen,snow,lower,,,,,1,7.5,90,16,0.1,3,85,50,.,54.8,.,.
2,"Bethesda
Children's Home",2004-01-29,.,frozen,snow,normal,,,,,-0.05,7.1,85,11.5,0.13,0.016,153,0,.,6.69,.,.
3,"Bethesda
Children's Home",2004-01-29,.,,calm,normal,,,,fast,3,7.2,125,10,0.14,0.006,136,0,.,6.89,.,.
58,"Maplewood
High School",2004-02-02,.,part frozen,flurries/sunny,normal,,,,,0,7.3,43,13,0,0,60,0,.,2.5,.,.
3,"Bethesda
Children's Home",2004-02-05,.,"slow,clear","calm, cold",normal,,,,,0.05,7.2,85,11,0.13,0.013,119,0,.,6.195,.,.
2,"Bethesda
Children's Home",2004-02-07,.,"frozen, clear",calm,normal,,,,,4,7.45,75,11.5,0.14,0.0165,127.5,0,.,3.9975,.,.
19,"Clymer Central
School",2004-02-07,.,"cloudy, fast",rain,higher,,,,,3,6.5,133,10,0.1,0,153,20,.,16,.,.
1,"Maplewood
High School",2004-02-11,.,cold,cold,cold,,"Hardness:171.1g/gal, Ca:
51.3g/gal, Mg: 119.8",,,0,7.4,30,12,0,0,34,5,.,3.4,.,.
1,"Maplewood
High School",2004-02-11,.,cold,cold,normal,,"Hardness:85.5 g/gal, Ca:
34.2 g/gal, Mg: 51.3",,,1,7.2,30,12,0,0,51,5,.,5,.,.
1,"Maplewood
High School",2004-02-11,.,"cold, clear, snowy","cold, light snow",normal,,"Hardness:62.6 g/gal, Ca:
34.2 g/gal, Mg: 28.4",,,0,7.15,30,11,0,0,51,0,.,5.1,.,.
1,"Maplewood
High School",2004-02-11,.,cold/snowy,cold.snowy,normal,,"Hardness:119.7 g/gal, Ca:
51.3 g/gal, Mg: 68.4",,,1,7.25,30,12,0,0.003,34,0,.,3.645,.,.
51,"Sugar Grove
Elementary",2004-02-11,.,frozen,snow,normal,,,,,4,7.5,600,12,.,0.03,306,.,.,.,.,.
25,"Meadville
Middle School",2004-02-12,.,normal,,higher,,,,,2,7.1,120,14.5,0.275,0,76.5,15,.,8.8,.,.
26,"Meadville
Middle School",2004-02-12,.,normal,,normal,,,,,1,6.7,110,8,0.42,0,93.5,5,.,16,.,.
51,"Sugar Grove
Elementary",2004-02-12,.,frozen,"snow, cold",normal,,,,,5,7.5,550,13.5,.,0.3,68,.,.,.,.,.
17,"Conneaut Lake
Middle Schoo",2004-02-16,.,frozen,snow,,,,5,,7,7.1,100,9,2,0.104,85,12.5,0.12,30.96,.,.
16,"Conneaut Lake
High School",2004-02-17,.,frozen,"rain, snow",,,,0.13,,.,7.95,185,12.5,0.01,.,68,12.5,0.001,7.45,.,.
18,"Conneaut Lake
High School",2004-02-17,.,frozen,"sunny, cold",,,,,,1,8.3,100,16,0.025,0,246.5,5,.,6.45,.,.
49,"Cussewago
Elementary
Schoo",2004-02-24,.,ice at edge,snow/rain,higher,,,,,2,7.55,120,13.5,0.2,0.021,68,.,.,3.265,.,.
41,"Cambridge
Springs Jr./Sr.",2004-02-25,.,brownish-green,"cold, sunny",higher,,,,,2,7.25,105,12,0.02,0.0099,76.5,27.5,.,9.4485,.,.
58,"Maplewood
High School",2004-02-27,.,slighly frozen,sunny/cold,normal,,,,slow,0,7.4,50,12,0,0,51,15,.,5.4,.,.
39,"General McLane
High School",2004-03-02,.,swelled,"rainy, warm",very high,,,,very fast,4,8.2,110,13,0.06,.,85,5,.,.,.,.
41,"Cambridge
Springs Jr./Sr.",2004-03-03,.,"murky, debris","cold, rain",very high,,,,,2.5,6.95,115,11.5,0.025,0.0133,93.5,20,.,10.7995,.,.
47,"Youngsville
High School",2004-03-03,.,"clear, slow
moving",stormy,lower,,,,,16,9.4,.,12,0,0,0,.,.,.,.,.
32,"Wattsburg Area
Middle Scho",2004-03-04,.,,,,,,,,4,7.4,140,11,0.001,0.001,170,5,.,.,.,.
32,"Wattsburg Area
Middle Scho",2004-03-04,.,"fast, clear grey",rain,higher,,,,,4,7.2,85,6,0.001,0.001,51,51,.,.,.,.
32,"Wattsburg Area
Middle Scho",2004-03-04,.,"clear, steady
flowing",snowy/rainy,normal,,,,,5,7.1,6,6,0.001,0.001,85,15,.,.,.,.
58,"Maplewood
High School",2004-03-04,.,normal,rain,higher,,,,fast,2,7.9,25,14,0,0,136,20,.,7.4,.,.
29,"Wattsburg Area
Middle Scho",2004-03-05,.,clear,rainy,higher,,,,fast,11,7.8,50,11,0.001,0.001,85,10,.,6.725,.,.
30,"Wattsburg Area
Middle Scho",2004-03-05,.,clear,rainy,,,,,fast,12,8,60,9,0.001,0.001,85,.,.,.,.,.
32,"Wattsburg Area
Middle Scho",2004-03-05,.,clear,rainy,higher,,,,fast,8,7,150,7,0.001,0.001,119,15,.,.,.,.
9,"Sherman
Central  School",2004-03-09,.,,,higher,,,,,3.4,8,.,10.5,.,.,42,75,.,.,.,.
25,"Meadville
Middle School",2004-03-10,.,,snow melt,higher,,,,fast,5,7.05,100,13,2.15,0,51,7.5,.,27.5,.,.
26,"Meadville
Middle School",2004-03-10,.,,rain,higher,,,,fast,3,6.8,90,9,0.1,0,93.5,7.5,.,11.8,.,.
5,"Cambridge
Springs High
Sch",2004-03-10,14:00:00,"muddy, green",snow,1.10,,,,2.5,10.5,7.3,60,12.5,0.2,0.001,54.4,15,.,7.865,.,.
5,"Cambridge
Springs High
Sch",2004-03-10,15:00:00,cloudy,"snow, sunny",1.50,,,,6,5,7.6,63,10.5,2,0.06,54.4,0.75,.,24.5,.,.
19,"Clymer Central
School",2004-03-12,.,"clear, swift",snow,normal,,,,,3,7.3,121,14,0.075,0,145,0,.,2.55,.,.
46,"Seneca High
School",2004-03-15,.,visible ice,snow/rain,normal,,,,,2,8.9,110,8.5,.,.,17,.,.,14.45,.,.
49,"Cussewago
Elementary
Schoo",2004-03-17,.,icy,"snow, wind",normal,,,,,1,7.3,90,15.5,0.25,0.29995,3,2.5,.,8.24925,.,.
48,"Conneaut Lake
High School",2004-03-23,.,part frozen,heavy rain,higher,,,<50,,1,7.6,900,27.5,0.525,.,170,5,0.06,.,.,.
52,"Cambridge
Springs High
Sch",2004-03-24,.,brownish gray,rain,3.20,,,,0.8,2,7.72,75,11.5,0.09,0.067,30.6,10,.,7.615,.,.
55,"Northewestern
High School",2004-03-25,.,muddy,light rain,higher,,,,fast,12,7.35,80,11,0.11,0.075,68,10,.,7.725,.,.
40,"General McLane
High School",2004-03-26,.,"cloudy, ice
breaking","rainy, warm",,,,,,8,7.8,70,11,0.14,0.05,51,10,.,8.85,.,.
47,"Youngsville
High School",2004-03-26,.,fast,sun/rain,higher,,,,very fast,5,7,120,12,0.001,0.6,102,35,.,21.61,.,.
1,"Maplewood
High School",2004-03-26,9:00:00,murky,rain,higher,,"Hardness:34.2 g/gal, Ca:
17.1 g/gal, Mg: 17.1",,,4,6.9,20,12,0,0.007,51,5,.,7.505,.,.
1,"Maplewood
High School",2004-03-26,9:00:00,murky,rain,higher,,"Hardness:34.2 g/gal, Ca:
17.1 g/gal, Mg: 17.1",,,4,7.4,20,11,0,0,85,10,.,5.1,.,.
18,"Conneaut Lake
High School",2004-03-29,.,normal,warm sunny,normal,,,,,.,8.1,90,.,0,0,93.5,3.75,.,15.55,.,.
51,"Sugar Grove
Elementary",2004-03-30,.,cleat,sunny,normal,,,,,11,7.5,500,9.5,.,0.02,297,.,.,.,.,.
51,"Sugar Grove
Elementary",2004-03-30,.,clear,"sunny, warm",normal,,,,,10,7.5,500,11.5,.,0.03,59,.,.,.,.,.
4,"Cambridge
Springs High
Sch",2004-03-31,.,murky,rain,very high,,,,,9.5,7.53,70,8,0.88,.,23.8,10,.,.,.,.
23,"Cochranton
High School",2004-03-31,.,murky,rain,higher,,,,fast,4,8.7,99.3,17,0.1,5,51,8.3,.,85.36,.,.
52,"Cambridge
Springs High
Sch",2004-03-31,.,murky,rain,3.30,,,,1,10,7.27,65,12,1,0.0267,44.2,5,.,14.8405,.,.
25,"Meadville
Middle School",2004-04-01,.,cloudy,rain,higher,,,,,7.5,7.35,90,6.5,0.2,0,68,7.5,.,10.15,.,.
26,"Meadville
Middle School",2004-04-01,.,cloudy,rain,higher,,,,,7.5,7.25,95,11,0.175,0.025,85,10,.,8.425,.,.
47,"Youngsville
High School",2004-04-02,.,nuddy,rain/sleet,higher,,,,,7,8,115,7,0,0.15,34,30,.,17.35,.,.
39,"General McLane
High School",2004-04-05,.,rapid,40s rain,higher,,,,,8,7.4,100,9.5,.,0.01,195.5,.,.,.,.,.
9,"Sherman
Central  School",2004-04-06,.,clear,partly cloudy,higher,,,,,5.25,7.1,125,10.5,0.155,.,102,50,.,.,.,.
41,"Cambridge
Springs Jr./Sr.",2004-04-06,.,green discolor,"cold, cloudy & sunny",higher,,,,,5.125,7.3,120,10.5,0.205,0.066,102,5,.,8.29,.,.
48,"Conneaut Lake
High School",2004-04-13,.,,cold/rainy,,,,,,15.5,7.65,110,16.5,.,.,119,5,0.09,.,.,.
40,"General McLane
High School",2004-04-14,.,normal,,,,,,,4,9.25,100,4,0,0,51,15,.,24.2,.,.
52,"Cambridge
Springs High
Sch",2004-04-14,.,muddy,rain/snow,2.10,,,,1,9,8.12,65,5.5,3,0.0167,30.6,15,.,44.3605,.,.
58,"Maplewood
High School",2004-04-16,.,normal,none,normal,,,,fast,11,7.3,45,9.5,0,0,51,15,.,7.95,.,.
46,"Seneca High
School",2004-04-22,.,dead fish,"rain, partly cloudy",normal,,,,,18.5,8.4,173,9.5,.,0.015,37.4,7.5,.,10.775,.,.
58,"Maplewood
High School",2004-04-29,.,normal,sunny,normal,,,,,10,7.2,30,10,0,0,34,30,.,11.4,.,.
1,"Maplewood
High School",2004-04-29,10:00:00,clear,clear,normal,,,,,10,7.3,20,11,0.02,0,34,5,.,5.1,.,.
1,"Maplewood
High School",2004-04-29,11:00:00,clear,clear,normal,,,,,11,7.1,20,11,0,0,51,0,.,5.5,.,.
40,"General McLane
High School",2004-04-30,.,,"sunny, hot",normal,,,,,16,8.6,110,4.5,0,0,68,5,.,16.65,.,.
29,"Wattsburg Area
Middle Scho",2004-05-03,.,clear,rainy,,,,,fast,11,7.8,50,11,0.001,0.001,85,10,.,6.725,.,.
2,"Bethesda
Children's Home",2004-05-04,.,clear,none,normal,,,,,8.5,8.05,105,10.5,0.12,0.025,85,5,.,9.625,.,.
40,"General McLane
High School",2004-05-05,.,turbid,"cloudy, rain",higher,,,,,11.5,8.45,100,9.5,0,0,51,5,.,11.95,.,.
39,"General McLane
High School",2004-05-10,.,"clear, gently
flowing","thunderstorms, 75
degrees",normal,,,,,19,8.2,120,9,0.04,0.033,153,5,.,14.4,.,.
17,"Conneaut Lake
Middle Schoo",2004-05-13,.,,sunny,normal,,,57.5,,23,7.3,100,6.5,0.35,0.05,119,5,0.7,12.3,.,.
41,"Cambridge
Springs Jr./Sr.",2004-05-13,.,muddy,sunny on the 12th,higher,,,,,21.5,7.35,120,8.5,0.3,0.2,127.5,15,.,14.25,.,.
1,"Maplewood
High School",2004-05-14,13:00:00,clear,"sunny, warm",lower,,"Hardness: 68.4 g/gal, Ca:
34.2 g/gal, Mg: 34.2",,,19,7.7,30,6,0,0,17,5,.,8.4,.,.
40,"General McLane
High School",2004-05-19,.,clear,"rain, warm, humid",normal,,,,,20,8.1,115,7.5,0,0,44.4,10,.,11.55,.,.
32,"Wattsburg Area
Middle Scho",2004-05-25,.,"clear, flowing well",rain/overcast,higher,,,,,16,7.3,120,7,0.001,0.001,153,10,.,.,.,.
1,"Maplewood
High School",2004-05-25,9:00:00,stained,stormy,normal,,"Hardness: 34.2 g/gal, Ca:
34.2g/gal, Mg: 0 g/g",,,17,7,20,10,0,0.03,34,5,.,8.45,.,.
1,"Maplewood
High School",2004-05-25,15:00:00,stained,rain,normal,,"Hardness: 34.2 g/gal, Ca:
34.2 g/gal, Mg: 0 g/",,,17,6.9,20,10,0.02,0.03,34,5,.,9.45,.,.
1,"Maplewood
High School",2004-05-26,11:00:00,stained,stormy,normal,,"Hardness: 68.4 g/gal, Ca:
34.2 g/gal, Mg: 34.2",,,17,7.3,20,9,0,0.006,34,0,.,5.39,.,.
29,"Wattsburg Area
Middle Scho",2004-05-27,.,clear,rain/overcast,higher,,,,fast,15.5,7.3,110,8,0.001,4.45,212.5,10,.,74.76,.,.
30,"Wattsburg Area
Middle Scho",2004-05-27,.,flowing well,rain/overcast,,,,,,16.5,7.8,110,8.5,0.1,0.001,76.5,25,.,.,.,.
32,"Wattsburg Area
Middle Scho",2004-05-27,.,flowing well,rain/overcast,,,,,,17,7.5,120,7,0.25,5,102,10,.,.,.,.
